rank,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %
1000.0,937.0,1000.0,995.0,871.0,844.0
500.499,485.9882604055496,14378.2024,11.421206030150755,1371.597014925373,27.64454976303318
288.8187706526037,284.6970478422087,30835.849086549617,33.28288244935509,3618.5593931922745,603.5275873668458
1.0,1.0,1848.0,-42.4,0.0,-11700.0
250.75,239.0,2886.5,1.7,169.85000000000002,-21.125
500.5,481.0,5417.0,6.3,420.8,10.850000000000001
750.25,731.0,12108.75,12.7,1198.75,56.7
1000.0,996.0,500343.0,613.2,48351.0,10557.1
