Classifier type,Accuracy,Macro precision,Macro recall,Macro F1,Per class recall
Majority class predictor,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616,[1. 0. 0. 0. 0. 0.]
Support vector machine,0.20833333333333334,0.12028985507246377,0.20833333333333334,0.15132275132275133,[0.   1.   0.   0.   0.25 0.  ]
Random forest,0.5763888888888888,0.451288056206089,0.576388888888889,0.4895978730475241,[1.         1.         0.45833333 1.         0.         0.        ]
