rank,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
937.0,937.0,937.0,937.0,820.0,806.0,937.0,889.0,937.0,937.0
476.48239060832447,485.9882604055496,15165.543649946638,8.251654215581643,1438.4973170731707,28.670471464019858,48570.23041622198,27580.332958380204,35277.338313767345,9.505869797225186
279.12572596742666,284.6970478422087,31699.650692233507,15.83362752547085,3717.6735400970324,615.3411730303452,205572.57270013168,68059.45952652114,94187.95311843636,46.06531290586778
1.0,1.0,1848.0,-42.4,0.0,-11700.0,479.0,0.0,126.0,-263.0
235.0,239.0,3151.0,1.4,177.425,-20.95,3721.0,3140.0,7000.0,-9.0
473.0,481.0,5872.0,5.9,449.35,10.7,8764.0,8932.0,13700.0,3.0
714.0,731.0,12506.0,12.0,1264.3,56.650000000000006,24954.0,22151.0,31344.0,25.0
1000.0,996.0,500343.0,220.4,48351.0,10557.1,3345529.0,851318.0,2300000.0,340.0
