rank,title,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
71,American Airlines Group,67,42207.0,5.0,1919.0,-28.3,51396.0,24584.0,126600,-4
72,Best Buy,72,42151.0,7.0,1000.0,-18.6,13049.0,20460.0,125000,0
73,Cigna,70,41616.0,4.9,2237.0,19.8,61753.0,40735.0,46000,-3
74,Charter Communications,96,41581.0,43.4,9895.0,180.9,146623.0,80954.0,94800,22
75,Delta Air Lines,71,41244.0,4.0,3577.0,-18.2,53292.0,38746.0,86564,-4
76,Facebook,98,40653.0,47.1,15934.0,56.0,84524.0,464190.0,25105,22
77,Honeywell International,73,40534.0,3.1,1655.0,-65.6,59387.0,108149.0,131000,-4
78,Merck,69,40122.0,0.8,2394.0,-38.9,87872.0,146862.0,69000,-9
79,Allstate,84,38524.0,5.4,3189.0,69.9,112422.0,33478.0,42680,5
80,Tyson Foods,82,38260.0,3.7,1774.0,0.3,28066.0,29233.0,122000,2
81,United Continental Holdings,83,37736.0,3.2,2131.0,-5.8,42326.0,19778.0,89800,2
82,Oracle,81,37728.0,1.8,9335.0,4.9,134991.0,186766.0,138000,-1
83,Tech Data,107,36775.0,40.2,116.6,-40.2,12653.0,3249.0,14000,24
84,TIAA,80,36025.0,-2.9,1049.7,-29.7,583632.0,,16829,-4
85,TJX,87,35865.0,8.1,2607.9,13.5,14058.0,51571.0,249000,2
86,American Express,86,35583.0,5.2,2736.0,-49.4,181159.0,80234.0,55000,0
87,Coca-Cola,64,35410.0,-15.4,1248.0,-80.9,87896.0,185207.0,61800,-23
88,Publix Super Markets,85,34837.0,1.6,2291.9,13.1,18184.0,,193000,-3
89,Nike,88,34350.0,6.1,4240.0,12.8,23259.0,108094.0,74400,-1
90,Andeavor,117,34204.0,42.5,1528.0,108.2,28573.0,15386.0,14300,27
91,World Fuel Services,103,33696.0,24.7,,-234.5,5588.0,1661.0,5000,12
92,Exelon,89,33531.0,6.9,3770.0,232.5,116700.0,37644.0,34621,-3
93,Massachusetts Mutual Life Insurance,77,33495.0,-11.4,513.0,-59.7,288855.0,,11811,-16
94,Rite Aid,91,32845.0,6.9,4.1,-97.6,11594.0,1793.0,70430,-3
95,ConocoPhillips,115,32584.0,33.8,,,73362.0,69641.0,11400,20
96,CHS,93,31935.0,5.2,127.9,-69.9,15974.0,,11626,-3
97,3M,94,31657.0,5.1,4858.0,-3.8,37987.0,130550.0,91536,-3
98,Time Warner,95,31271.0,6.7,5247.0,33.6,69209.0,73758.0,26000,-3
99,General Dynamics,90,30973.0,-1.2,2912.0,-1.5,35046.0,65845.0,98600,-9
100,USAA,102,30016.0,10.6,2421.9,36.1,155391.0,,32705,2
101,Capital One Financial,100,29999.0,9.0,1982.0,-47.2,365693.0,46584.0,49300,-1
102,Deere,105,29738.0,11.6,2159.1,41.7,65786.0,50291.0,60476,3
103,INTL FCStone,189,29424.0,99.4,6.4,-88.3,6243.0,804.0,1607,86
104,Northwestern Mutual,97,29331.0,1.8,1017.0,24.3,265049.0,,5437,-7
105,Enterprise Products Partners,122,29242.0,27.0,2799.3,11.4,54418.0,52904.0,7000,17
106,Travelers Cos.,99,28902.0,4.6,2056.0,-31.8,103483.0,37691.0,30800,-7
107,Hewlett Packard Enterprise,59,28871.0,-42.4,344.0,-89.1,61406.0,27243.0,66000,-48
108,Philip Morris International,104,28748.0,7.7,6035.0,-13.4,42968.0,154514.0,80600,-4
109,Twenty-First Century Fox,101,28500.0,4.3,2952.0,7.2,50724.0,67969.0,21700,-8
110,AbbVie,111,28216.0,10.1,5309.0,-10.8,70786.0,150180.0,29000,1
111,Abbott Laboratories,135,27390.0,31.3,477.0,-65.9,76250.0,104640.0,99000,24
112,Progressive,120,26839.0,14.5,1592.2,54.4,38701.0,35478.0,33656,8
113,Arrow Electronics,118,26813.0,12.5,402.0,-23.1,16463.0,6750.0,18800,5
114,Kraft Heinz,106,26232.0,-1.0,10999.0,202.8,120232.0,75920.0,39000,-8
115,Plains GP Holdings,141,26223.0,29.9,,-877.7,26753.0,6328.0,4850,26
116,Gilead Sciences,92,26107.0,-14.1,4628.0,-65.7,70283.0,98298.0,10000,-24
117,Mondelez International,109,25896.0,-0.1,2922.0,76.1,63109.0,62066.0,83000,-8
118,Northrop Grumman,114,25803.0,5.3,2015.0,-8.4,34917.0,60778.0,70000,-4
119,Raytheon,116,25348.0,5.3,2024.0,-8.5,30860.0,62265.0,64000,-3
120,Macys,110,24837.0,-3.7,1547.0,149.9,19381.0,9065.0,130000,-10
121,US Foods Holding,124,24147.0,5.4,444.3,111.8,9037.0,7065.0,25204,3
122,U.S. Bancorp,125,23996.0,5.5,6218.0,5.6,462040.0,83367.0,72402,3
123,Dollar General,128,23471.0,6.8,1539.0,23.0,12517.0,25141.0,129000,5
124,International Paper,133,23302.0,10.5,2144.0,137.2,33903.0,22063.0,56000,9
125,Duke Energy,121,23189.0,-0.8,3059.0,42.1,137914.0,54276.0,29060,-4
126,Southern,145,23031.0,15.8,842.0,-65.6,111005.0,45024.0,31344,19
127,Marriott International,163,22894.0,34.1,1372.0,75.9,23948.0,48531.0,177000,36
128,Avnet,108,22872.0,-12.8,525.3,3.7,9700.0,5009.0,15700,-20
129,Eli Lilly,132,22871.0,7.8,,-107.5,44981.0,84542.0,40655,3
130,Amgen,123,22849.0,-0.6,1979.0,-74.4,79954.0,122842.0,20800,-7
131,McDonalds,112,22820.0,-7.3,5192.3,10.8,33804.0,124244.0,235000,-19
