rank,title,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
310,Eastman Chemical,309,9549.0,6.0,1384.0,62.1,15999.0,15073.0,14000,-1
311,American Family Insurance Group,315,9545.0,8.1,155.6,-52.2,24233.0,,11307,4
312,Steel Dynamics,347,9539.0,22.7,812.7,112.7,6856.0,10444.0,7635,35
313,Pacific Life,302,9510.0,3.7,1365.0,65.7,157877.0,,3578,-11
314,Chesapeake Energy,343,9496.0,20.6,949.0,,12425.0,2746.0,3200,29
315,Mohawk Industries,311,9491.0,5.9,971.6,4.4,12095.0,17283.0,38800,-4
316,Quanta Services,355,9467.0,23.7,315.0,58.8,6480.0,5281.0,32800,39
317,Advance Auto Parts,292,9374.0,-2.0,475.5,3.5,8482.0,8770.0,55500,-25
318,Owens & Minor,288,9318.0,-4.2,72.8,-33.1,3376.0,961.0,8600,-30
319,United Natural Foods,325,9275.0,9.5,130.2,3.5,2887.0,2165.0,9700,6
320,Tenneco,322,9274.0,7.8,207.0,-41.9,4842.0,2822.0,32000,2
321,Conagra Brands,197,9235.0,-34.7,639.3,,10096.0,14776.0,12600,-124
322,GameStop,321,9225.0,7.2,34.7,-90.2,5042.0,1279.0,39500,-1
323,Hormel Foods,295,9168.0,-3.7,846.7,-4.9,6976.0,18174.0,20200,-28
324,Hilton Worldwide Holdings,241,9140.0,-21.6,1259.0,261.8,14308.0,24957.0,163000,-83
325,Frontier Communications,313,9128.0,2.6,,,24884.0,582.0,22736,-12
326,Fidelity National Information Services,301,9123.0,-1.3,1319.0,132.2,24517.0,31893.0,53000,-25
327,Public Service Enterprise Group,306,9084.0,0.3,1574.0,77.5,42716.0,25359.0,12945,-21
328,Boston Scientific,327,9048.0,7.9,104.0,-70.0,19042.0,37688.0,29000,-1
329,OReilly Automotive,323,8978.0,4.5,1133.8,9.3,7572.0,20607.0,60365,-6
330,Charles Schwab,357,8960.0,17.2,2354.0,24.6,243274.0,70313.0,17600,27
331,Global Partners,334,8921.0,8.3,58.8,,2320.0,522.0,2000,3
332,PVH,335,8915.0,8.7,537.8,-2.0,11886.0,11649.0,28050,3
333,Avis Budget Group,319,8848.0,2.2,361.0,121.5,17699.0,3792.0,26300,-14
334,Targa Resources,402,8815.0,31.7,54.0,,14389.0,9629.0,2130,68
335,Hertz Global Holdings,296,8803.0,-7.1,327.0,,20058.0,1662.0,37000,-39
336,Calpine,400,8752.0,30.3,,-468.5,16453.0,,2290,64
337,Mutual of Omaha Insurance,342,8732.0,10.6,862.6,141.9,42429.0,,5896,5
338,Crown Holdings,333,8698.0,5.0,323.0,-34.9,10663.0,6816.0,24342,-5
339,Peter Kiewit Sons,324,8678.0,1.2,371.0,-6.3,5710.0,,22000,-15
340,Dicks Sporting Goods,340,8591.0,8.4,323.4,12.5,4204.0,3765.0,30300,0
341,PulteGroup,353,8573.0,11.8,447.2,-25.8,9687.0,8439.0,4810,12
342,Navistar International,337,8570.0,5.7,30.0,,6135.0,3451.0,11400,-5
343,Thrivent Financial for Lutherans,316,8528.0,-2.8,558.4,-5.0,95001.0,,3622,-27
345,Air Products & Chemicals,294,8442.0,-11.4,3000.4,375.4,18467.0,34818.0,15150,-51
346,Veritiv,331,8365.0,0.5,,-163.3,2708.0,617.0,8900,-15
347,AGCO,370,8307.0,12.1,186.4,16.4,7972.0,5157.0,20462,23
348,Genworth Financial,329,8295.0,-0.9,817.0,,105297.0,1413.0,3500,-19
349,Univar,338,8254.0,2.2,119.8,,5733.0,3920.0,8600,-11
350,News Corp.,332,8139.0,-2.2,,-512.3,14552.0,9272.0,26000,-18
351,SpartanNash,350,8128.0,5.1,,-193.0,2056.0,620.0,11950,-1
352,Westlake Chemical,507,8041.0,58.4,1304.0,226.9,12076.0,14385.0,8799,155
353,Williams,367,8031.0,7.1,2174.0,,46352.0,20567.0,5425,14
354,Lam Research,440,8014.0,36.1,1697.8,85.7,12123.0,33105.0,9400,86
355,Alaska Air Group,438,7933.0,33.8,1034.0,27.0,10740.0,7646.0,23156,83
356,Jones Lang LaSalle,391,7932.0,16.6,254.2,-20.1,8015.0,7930.0,81900,35
357,Anixter International,359,7927.0,4.0,109.0,-9.5,4252.0,2522.0,8900,2
358,Campbell Soup,339,7890.0,-0.9,887.0,57.5,7726.0,13021.0,18000,-19
359,Interpublic Group,345,7882.0,0.5,579.0,-4.8,12695.0,8854.0,50200,-14
360,Dover,392,7830.0,15.2,811.7,59.5,10658.0,15183.0,29000,32
361,Zimmer Biomet Holdings,352,7824.0,1.8,1813.8,492.9,25965.0,22151.0,18200,-9
362,Dean Foods,351,7795.0,1.1,61.6,-48.6,2504.0,787.0,16000,-11
363,Foot Locker,348,7782.0,0.2,284.0,-57.2,3961.0,5379.0,32175,-15
364,Eversource Energy,358,7752.0,1.5,988.0,4.8,36220.0,18671.0,8084,-6
365,Alliance Data Systems,378,7719.0,8.1,788.7,52.9,30685.0,11806.0,20000,13
366,Fifth Third Bancorp,389,7713.0,12.0,2194.0,40.3,142193.0,21812.0,18125,23
367,Quest Diagnostics,366,7709.0,2.6,772.0,19.7,10503.0,13619.0,45000,-1
368,EMCOR Group,360,7688.0,1.8,227.2,24.9,3966.0,4549.0,32000,-8
369,W.R. Berkley,354,7685.0,0.4,549.1,-8.8,24300.0,8836.0,7722,-15
370,WESCO International,373,7679.0,4.7,163.5,60.9,4736.0,2920.0,9100,3
371,Coty,558,7650.0,75.9,,-369.1,22548.0,13723.0,22000,187
372,WEC Energy Group,368,7649.0,2.4,1203.7,28.2,31591.0,19784.0,8129,-4
373,Masco,372,7644.0,3.9,533.0,8.6,5488.0,12590.0,26000,-1
375,Auto-Owners Insurance,398,7604.0,12.2,645.7,-8.6,23694.0,,5227,23
376,Jones Financial (Edward Jones),403,7597.0,14.6,872.0,16.9,17176.0,,45000,27
377,Liberty Media,491,7594.0,43.9,1354.0,99.1,41996.0,13816.0,4393,114
378,Erie Insurance Group,382,7535.0,7.4,857.5,15.6,20670.0,,5260,4
379,Hershey,369,7515.0,1.0,783.0,8.7,5554.0,20774.0,16135,-10
380,PPL,365,7447.0,-0.9,1128.0,-40.7,41479.0,19635.0,12512,-15
381,Huntington Ingalls Industries,380,7441.0,5.3,479.0,-16.4,6374.0,11539.0,38000,-1
382,Mosaic,377,7409.0,3.4,,-136.0,18633.0,9358.0,8500,-5
383,J.M. Smucker,346,7392.0,-5.4,592.3,-14.0,15640.0,14087.0,7140,-37
384,Delek US Holdings,480,7350.0,35.7,288.8,,5935.0,3416.0,3941,96
385,Newmont Mining,328,7348.0,-12.3,,,20563.0,20853.0,12569,-57
386,Constellation Brands,408,7332.0,12.0,1535.1,45.5,18602.0,44379.0,8700,22
387,Ryder System,394,7330.0,8.0,790.6,201.2,11452.0,3867.0,36100,7
388,National Oilwell Varco,375,7304.0,0.7,,,20206.0,13993.0,31605,-13
389,Adobe Systems,443,7302.0,24.7,1694.0,44.9,14536.0,106413.0,17973,54
390,LifePoint Health,374,7263.0,-0.1,102.4,-16.0,6286.0,1832.0,42000,-16
391,Tractor Supply,396,7256.0,7.0,422.6,-3.3,2869.0,7807.0,21000,5
392,Thor Industries,540,7247.0,58.2,374.3,45.9,2558.0,6069.0,17800,148
393,Dana,447,7209.0,23.7,111.0,-82.7,5644.0,3741.0,30100,54
394,Weyerhaeuser,341,7196.0,-8.9,582.0,-43.3,18059.0,26463.0,9300,-53
395,J.B. Hunt Transport Services,407,7190.0,9.7,686.3,58.8,4465.0,12858.0,24681,12
396,Darden Restaurants,385,7170.0,3.4,479.1,27.8,5504.0,10531.0,178729,-11
397,Yum China Holdings,399,7144.0,5.8,403.0,-19.7,4263.0,16009.0,450000,2
398,Blackstone Group,503,7119.0,38.9,1470.8,41.5,34429.0,21058.0,2360,105
399,Berry Global Group,413,7095.0,9.3,340.0,44.1,8476.0,7191.0,23000,14
400,Builders FirstSource,421,7034.0,10.5,38.8,-73.1,3006.0,2264.0,15000,21
401,Activision Blizzard,406,7017.0,6.2,273.0,-71.7,18668.0,51177.0,9800,5
402,JetBlue Airways,403,7015.0,5.8,1147.0,51.1,9781.0,6540.0,17424,1
403,Amphenol,424,7011.0,11.5,650.5,-21.0,10004.0,26311.0,70000,21
404,A-Mark Precious Metals,395,6990.0,3.0,7.1,-23.6,479.0,86.0,126,-9
405,Spirit AeroSystems Holdings,393,6983.0,2.8,354.9,-24.4,5268.0,9595.0,15500,-12
406,R.R. Donnelley & Sons,388,6940.0,0.6,,,3905.0,612.0,42700,-18
407,Harris,363,6939.0,-7.8,553.0,70.7,10090.0,19149.0,17000,-44
408,Expeditors Intl. of Washington,429,6921.0,13.5,489.3,13.6,3117.0,11087.0,16500,21
409,Discovery,412,6873.0,5.8,,-128.2,22555.0,11156.0,7000,3
410,Owens-Illinois,401,6869.0,2.5,180.0,-13.9,9756.0,3538.0,26500,-9
411,Sanmina,414,6869.0,6.0,138.8,-26.1,3847.0,1863.0,41250,3
412,KeyCorp,479,6868.0,26.7,1296.0,63.8,137698.0,20570.0,18415,67
413,American Financial Group,411,6865.0,5.6,475.0,-26.8,60658.0,9923.0,7600,-2
414,Oshkosh,425,6830.0,8.8,285.6,32.0,5099.0,5768.0,14000,11
415,Rockwell Collins,492,6822.0,29.7,705.0,-3.2,17997.0,22108.0,29000,77
416,Kindred Healthcare,376,6768.0,-6.4,,,5233.0,836.0,64200,-40
417,Insight Enterprises,473,6704.0,22.2,90.7,7.1,2686.0,1252.0,6697,56
418,Dr Pepper Snapple Group,416,6690.0,3.9,1076.0,27.0,10022.0,21278.0,21000,-2
419,American Tower,449,6664.0,15.2,1238.9,29.5,33214.0,64073.0,4752,30
421,Ralph Lauren,371,6653.0,-10.2,,-125.1,5652.0,9088.0,18250,-50
422,HRG Group,418,6650.0,3.9,106.0,,35850.0,3328.0,17113,-4
423,Ascena Retail Group,384,6650.0,-4.9,,,3872.0,394.0,40000,-39
424,United Rentals,452,6641.0,15.3,1346.0,137.8,15030.0,14537.0,14800,28
425,Caseys General Stores,423,6641.0,5.3,177.5,-21.5,3020.0,4120.0,25463,-2
426,Graybar Electric,420,6631.0,3.9,71.6,-23.1,2261.0,,8500,-6
427,Avery Dennison,430,6614.0,8.7,281.8,-12.1,5137.0,9361.0,30000,3
428,MasTec,502,6607.0,28.7,347.2,164.5,4067.0,3874.0,17300,74
429,CMS Energy,419,6583.0,2.9,460.0,-16.5,23050.0,12793.0,7887,-10
430,HD Supply Holdings,364,6534.0,-13.2,970.0,394.9,4318.0,7040.0,11000,-66
431,Raymond James Financial,469,6525.0,18.2,636.2,20.2,34884.0,13019.0,12700,38
432,NCR,409,6516.0,-0.4,232.0,-14.1,7654.0,3737.0,34000,-23
433,Hanesbrands,432,6478.0,6.9,61.9,-88.5,6895.0,6638.0,67200,-1
434,Asbury Automotive Group,410,6457.0,-1.1,139.1,-16.8,2357.0,1412.0,8000,-24
435,Citizens Financial Group,451,6454.0,12.0,1652.0,58.1,152336.0,20474.0,17594,16
436,Packaging Corp. of America,450,6445.0,11.5,668.6,48.7,6198.0,10633.0,14600,14
437,Alleghany,428,6425.0,4.8,90.1,-80.3,25384.0,9460.0,4402,-9
438,Apache,488,6423.0,20.0,1304.0,,21922.0,14678.0,3356,50
439,Dillards,417,6423.0,0.1,221.3,30.8,3673.0,2289.0,31400,-22
440,Assurant,361,6415.0,-14.8,519.6,-8.1,31843.0,4803.0,14175,-79
441,Franklin Resources,405,6392.0,-3.4,1696.7,-1.7,17534.0,19133.0,9386,-36
442,Owens Corning,458,6384.0,12.5,289.0,-26.5,8632.0,8982.0,17000,16
443,Motorola Solutions,433,6380.0,5.7,,-127.7,8208.0,17027.0,15000,-10
444,NVR,446,6322.0,8.4,537.5,26.4,2989.0,10262.0,5200,2
445,Rockwell Automation,442,6311.0,7.3,825.7,13.2,7162.0,22260.0,22000,-3
446,TreeHouse Foods,427,6307.0,2.1,,,5779.0,2159.0,13489,-19
447,Wynn Resorts,548,6306.0,41.2,747.2,208.8,12682.0,19778.0,25200,101
448,Olin,467,6268.0,12.9,549.5,,9218.0,5081.0,6400,19
449,American Axle & Manufacturing,593,6266.0,58.7,337.1,40.0,7883.0,1699.0,25000,144
450,Old Republic International,439,6263.0,6.1,560.5,20.0,19404.0,5778.0,8700,-11
451,Chemours,482,6183.0,14.5,746.0,10557.1,7293.0,8840.0,7000,31
452,iHeartMedia,426,6178.0,-1.5,,,12257.0,39.0,18700,-26
453,Ameren,431,6177.0,1.7,523.0,-19.9,25945.0,13740.0,8615,-22
454,Arthur J. Gallagher,462,6160.0,10.1,463.1,11.8,12897.0,12512.0,26783,8
455,Celanese,484,6140.0,13.9,843.0,-6.3,9538.0,13611.0,7592,29
456,Sealed Air,397,6131.0,-9.6,814.9,67.5,5280.0,7162.0,15000,-59
457,UGI,457,6121.0,7.7,436.6,19.7,11582.0,7685.0,13000,0
458,Realogy Holdings,448,6114.0,5.2,431.0,102.3,7337.0,3568.0,11800,-10
459,Burlington Stores,463,6110.0,9.3,384.9,78.3,2813.0,9018.0,40000,4
460,Regions Financial,436,6093.0,2.1,1263.0,8.6,124294.0,20861.0,21714,-24
461,AK Steel Holding,441,6081.0,3.4,6.2,,4296.0,1428.0,9200,-20
462,Securian Financial Group,532,6067.0,27.0,418.9,68.7,51232.0,,5000,70
463,S& P Global,459,6063.0,7.1,1496.0,-29.0,9425.0,47643.0,20400,-4
464,Markel,460,6062.0,8.0,395.3,-13.3,32805.0,16264.0,15600,-4
465,TravelCenters of America,470,6052.0,9.8,9.3,,1618.0,144.0,19611,5
467,M& T Bank Corp.,455,6019.0,5.2,1408.3,7.1,118594.0,27379.0,16354,-12
468,Clorox,453,5973.0,3.7,701.0,8.2,4573.0,17225.0,8100,-15
469,AmTrust Financial Services,475,5959.0,9.3,,-184.9,25219.0,2416.0,9300,6
470,KKR,656,5930.0,71.4,1018.3,229.2,45835.0,9882.0,1184,186
471,Ulta Beauty,524,5885.0,21.2,555.2,35.5,2909.0,12459.0,24200,53
472,Yum Brands,422,5878.0,-7.7,1340.0,-17.2,5311.0,28307.0,60000,-50
473,Regeneron Pharmaceuticals,523,5872.0,20.8,1198.5,33.8,8764.0,37087.0,6200,50
474,Windstream Holdings,485,5853.0,8.6,,,11084.0,289.0,12979,11
475,Magellan Health,526,5838.0,20.7,110.2,41.5,2957.0,2605.0,10700,51
476,Western & Southern Financial,483,5836.0,8.1,310.4,28.7,46395.0,,2226,7
477,Intercontinental Exchange,437,5834.0,-2.1,2514.0,76.8,78264.0,42132.0,4952,-40
478,Ingredion,456,5832.0,2.3,519.0,7.0,6080.0,9313.0,11000,-22
479,Wyndham Destinations,461,5821.0,4.0,871.0,42.6,10403.0,11411.0,39200,-18
480,Toll Brothers,497,5815.0,12.5,535.5,40.1,9445.0,6566.0,4500,17
481,Seaboard,486,5809.0,8.0,247.0,-20.8,5161.0,4992.0,11800,5
482,Booz Allen Hamilton,481,5804.0,7.4,252.5,-14.1,3373.0,5617.0,23300,-1
483,First American Financial,464,5772.0,3.5,423.0,23.3,9573.0,6511.0,18705,-19
484,Cincinnati Financial,476,5732.0,5.2,1045.0,76.9,21843.0,12185.0,4925,-8
485,Avon Products,444,5716.0,-2.3,22.0,,3698.0,1251.0,25000,-41
486,Northern Trust,501,5716.0,11.1,1199.0,16.1,138591.0,23264.0,18100,15
487,Fiserv,471,5696.0,3.5,1246.0,34.0,10289.0,29466.0,24000,-16
488,Harley-Davidson,435,5647.0,-5.8,521.8,-24.6,9973.0,7198.0,5800,-53
490,Patterson,466,5593.0,0.7,170.9,-8.7,3508.0,2104.0,7500,-24
491,Peabody Energy,533,5579.0,18.3,,,8181.0,4649.0,7100,42
492,ON Semiconductor,598,5543.0,41.9,810.7,345.2,7195.0,10406.0,34000,106
493,Simon Property Group,477,5539.0,1.9,1948.0,5.9,32258.0,47861.0,4150,-16
494,Western Union,478,5524.0,1.9,,-320.0,9231.0,8857.0,11500,-16
495,NetApp,468,5519.0,-0.5,509.0,122.3,9493.0,16528.0,10100,-27
496,Polaris Industries,537,5505.0,19.8,172.5,-19.0,3090.0,7224.0,11000,41
497,Pioneer Natural Resources,606,5455.0,42.7,833.0,,17003.0,29254.0,3836,109
498,ABM Industries,500,5454.0,6.0,3.8,-93.4,3813.0,2200.0,140000,2
499,Vistra Energy,499,5430.0,5.2,,,14600.0,8925.0,4150,0
500,Cintas,520,5429.0,10.7,480.7,-30.7,6844.0,18165.0,42000,20
501,Hess,525,5405.0,11.6,,,23112.0,15948.0,2075,24
502,Host Hotels & Resorts,472,5387.0,-1.8,564.0,-26.0,11693.0,13822.0,205,-30
503,Kelly Services,490,5374.0,1.8,71.6,-40.7,2378.0,1116.0,7800,-13
504,Genesis Healthcare,454,5374.0,-6.3,,,4788.0,241.0,68700,-50
505,Michaels Cos.,496,5362.0,3.2,390.5,3.3,2300.0,3586.0,30500,-9
506,Advanced Micro Devices,565,5329.0,24.7,43.0,,3540.0,9740.0,8900,59
507,Zoetis,521,5307.0,8.6,864.0,5.2,8586.0,40524.0,9200,14
508,Williams-Sonoma,506,5292.0,4.1,259.5,-15.0,2786.0,4441.0,19350,-2
509,Fortune Brands Home & Security,511,5283.0,6.0,472.6,14.4,5511.0,8717.0,23870,2
510,Big Lots,495,5271.0,1.4,189.8,24.2,1652.0,1830.0,22900,-15
511,Robert Half International,493,5267.0,0.3,290.6,-15.4,1868.0,7194.0,17200,-18
512,Post Holdings,508,5226.0,4.0,48.3,,11877.0,4968.0,11410,-4
513,Hasbro,509,5210.0,3.8,396.6,-28.1,5290.0,10468.0,5400,-4
514,Hanover Insurance Group,517,5184.0,4.8,186.2,20.1,15470.0,5017.0,4600,3
515,Navient,514,5179.0,4.3,292.0,-57.1,114991.0,3456.0,6700,-1
516,Intuit,527,5177.0,7.2,971.0,-0.8,4068.0,44397.0,8200,11
517,Domtar,505,5157.0,1.2,,-301.6,5212.0,2667.0,10000,-12
518,Marathon Oil,536,5153.0,10.8,,,22012.0,13707.0,2300,18
519,Cerner,530,5142.0,7.2,867.0,36.2,6469.0,19291.0,26000,11
520,Analog Devices,660,5108.0,49.3,727.3,-15.6,21141.0,33700.0,15300,140
521,Telephone & Data Systems,504,5044.0,-1.2,153.0,255.8,9295.0,3115.0,9900,-17
522,Essendant,487,5037.0,-6.2,,-518.1,1774.0,294.0,6400,-35
523,Sonoco Products,531,5037.0,5.3,175.3,-38.8,4558.0,4829.0,21000,8
524,Juniper Networks,510,5027.0,0.7,306.2,-48.3,9834.0,8364.0,9381,-14
525,Commercial Metals,535,4999.0,7.5,46.3,-15.4,2975.0,2394.0,8797,10
526,CSRA,570,4993.0,17.5,304.0,248.8,4888.0,6759.0,18500,44
527,Under Armour,528,4977.0,3.1,,-118.8,4006.0,6756.0,11350,1
528,RPM International,529,4958.0,3.0,181.8,-48.7,5090.0,6372.0,14318,1
529,Total System Services,579,4928.0,18.2,586.2,83.4,6332.0,15676.0,11800,50
530,Levi Strauss,542,4904.0,7.7,281.4,-3.3,3355.0,0.0,13800,12
531,Brunswick,547,4898.0,9.1,146.4,-47.0,3358.0,5188.0,15116,16
532,YRC Worldwide,534,4891.0,4.1,,-150.2,1586.0,299.0,32000,2
533,Mattel,474,4882.0,-10.5,,-431.4,6239.0,4523.0,28000,-59
534,FM Global,557,4875.0,11.5,254.1,-68.1,23247.0,,5441,23
535,NiSource,545,4875.0,8.5,128.5,-61.2,19962.0,8068.0,8175,10
536,Caesars Entertainment,541,4852.0,6.5,,,25512.0,7838.0,65000,5
537,Electronic Arts,556,4845.0,10.2,967.0,-16.3,7718.0,37188.0,8800,19
538,Dynegy,561,4842.0,12.1,76.0,,11771.0,1952.0,2489,23
539,McCormick,553,4834.0,9.6,477.4,1.1,10386.0,13964.0,11700,14
540,T. Rowe Price,573,4793.0,13.5,1497.8,23.3,7535.0,26409.0,6881,33
541,Orbital ATK,549,4764.0,6.9,310.0,5.8,5666.0,7665.0,13900,8
542,Tutor Perini,513,4757.0,-4.3,148.4,54.9,4264.0,1098.0,10061,-29
543,Brookdale Senior Living,512,4747.0,-4.6,,,7675.0,1252.0,62550,-31
544,Huntington Bancshares,610,4740.0,25.3,1186.0,66.6,104185.0,16209.0,15770,66
545,Wayfair,666,4721.0,39.7,,,1213.0,5977.0,7751,121
546,Rush Enterprises,575,4714.0,11.8,172.1,324.2,2890.0,1609.0,6825,29
547,Xylem,611,4707.0,24.8,331.0,27.3,6860.0,13839.0,16200,64
548,Neiman Marcus Group,515,4706.0,-4.9,,,7704.0,,13700,-33
549,Hyatt Hotels,552,4685.0,5.8,249.0,22.1,7672.0,9054.0,45000,3
550,Sprouts Farmers Market,585,4665.0,15.3,158.4,27.5,1582.0,3122.0,27000,35
551,Diebold Nixdorf,672,4609.0,38.0,,,5250.0,1170.0,23000,121
552,Roper Technologies,609,4608.0,21.6,971.8,47.5,14316.0,28862.0,14236,57
553,Smart & Final Stores,559,4571.0,5.3,,-1172.9,1810.0,412.0,7570,6
554,CommScope Holding,518,4561.0,-7.4,193.8,-13.0,7042.0,7670.0,20000,-36
555,Tapestry,546,4488.3,-0.1,591.0,28.3,5831.6,14988.0,12450,-9
556,Diplomat Pharmacy,554,4485.0,1.7,15.5,-45.1,1940.0,1493.0,2298,-2
557,Chipotle Mexican Grill,599,4476.0,14.7,176.3,668.4,2046.0,9025.0,68890,42
558,Agilent Technologies,576,4472.0,6.4,684.0,48.1,8426.0,21574.0,13500,18
559,Science Applications International,551,4454.0,0.3,179.0,25.2,2073.0,3332.0,15391,-8
560,MDU Resources Group,569,4444.0,4.5,281.2,336.4,6335.0,5500.0,10140,9
561,Select Medical Holdings,563,4444.0,3.7,177.2,53.5,5127.0,2313.0,36050,2
562,Boise Cascade,597,4432.0,13.3,83.0,116.9,1607.0,1500.0,6370,35
563,National General Holdings,643,4431.0,24.7,105.8,-39.8,8440.0,2598.0,7570,80
564,SCANA,572,4407.0,4.3,,-120.0,18739.0,5356.0,5228,8
565,Graphic Packaging Holding,562,4404.0,2.5,300.2,31.7,4863.0,4754.0,13000,-3
566,Fastenal,591,4391.0,10.8,578.6,15.8,2911.0,15703.0,20565,25
568,Laureate Education,571,4378.0,3.2,91.5,-75.4,7392.0,2578.0,54500,3
569,Beacon Roofing Supply,582,4377.0,6.0,100.9,12.2,3450.0,3609.0,5406,13
570,KB Home,634,4369.0,21.5,180.6,71.0,5042.0,2468.0,1915,64
571,Equinix,624,4368.0,19.3,233.0,83.7,18692.0,33128.0,7273,53
572,Terex,445,4363.0,-25.3,128.7,,3463.0,3030.0,10700,-127
573,Crown Castle International,596,4356.0,11.1,444.6,24.5,32230.0,45452.0,4500,23
574,CACI International,615,4355.0,16.3,163.7,14.6,3911.0,3727.0,18600,41
575,Watsco,574,4342.0,2.9,208.2,13.9,2047.0,6752.0,5200,-1
576,Coca-Cola Bottling,701,4324.0,37.0,96.5,92.5,3073.0,1615.0,15500,125
577,Welltower,564,4317.0,0.8,522.8,-51.5,27944.0,20246.0,392,-13
579,Ametek,604,4300.0,12.0,681.5,33.1,7796.0,17590.0,16900,25
580,CNO Financial Group,590,4297.0,7.8,175.6,-51.0,33110.0,3630.0,3300,10
581,Camping World Holdings,648,4285.0,21.8,28.4,-85.2,2562.0,3084.0,10227,67
582,LPL Financial Holdings,584,4282.0,5.7,238.9,24.5,5359.0,5510.0,3736,2
583,Noble Energy,653,4256.0,21.9,,,21476.0,14913.0,2277,70
584,Bloomin Brands,568,4213.0,-0.9,100.2,140.1,2573.0,2256.0,94000,-16
585,Moodys,631,4204.0,16.6,1000.6,275.3,8594.0,30826.0,11896,46
586,Symantec,465,4191.0,-24.7,,-104.3,18174.0,16067.0,13000,-121
587,Amkor Technology,600,4187.0,7.5,260.7,58.8,4522.0,2425.0,29300,13
588,Skechers U.S.A.,638,4181.0,16.9,179.2,-26.4,2735.0,6231.0,8150,50
589,KBR,567,4171.0,-2.3,434.0,,3674.0,2271.0,20000,-22
590,Tiffany,588,4170.0,4.2,370.1,-17.0,5468.0,12149.0,13100,-2
591,Torchmark,580,4156.0,0.0,1454.5,164.6,23475.0,9583.0,3102,-11
592,Broadridge Financial Solutions,749,4143.0,43.0,326.8,6.3,3150.0,12796.0,10000,157
593,Quad/Graphics,560,4131.4,-4.6,107.2,138.8,2452.4,1336.0,21100,-33
594,CF Industries Holdings,622,4130.0,12.1,357.7,,13463.0,8805.0,2950,28
595,Carlisle,623,4090.0,11.3,365.5,46.1,5300.0,6408.0,14800,28
596,Silgan Holdings,629,4090.0,13.2,269.7,75.8,4645.0,3074.0,12515,33
597,Bemis,587,4046.0,1.0,94.0,-60.2,3700.0,4002.0,16582,-10
598,CA,583,4036.0,-0.4,775.0,-1.0,12610.0,14134.0,11800,-15
599,Hub Group,640,4035.0,12.9,135.2,80.7,1671.0,1439.0,4377,41
600,Worldpay,637,4027.0,12.5,130.1,-39.0,8667.0,25915.0,3560,37
601,Ingles Markets,608,4003.0,5.5,53.9,-0.6,1733.0,686.0,17250,7
602,Snap-on,618,4000.0,7.8,557.7,2.1,5249.0,8367.0,12600,16
603,Dentsply Sirona,614,3993.0,6.6,,-460.5,10375.0,11439.0,16100,11
604,Calumet Specialty Products,632,3992.0,10.9,,,2689.0,541.0,1600,28
605,Global Payments,669,3975.0,17.9,468.4,132.2,12998.0,17789.0,10000,64
606,Encompass Health,619,3971.4,7.1,256.3,3.5,4893.7,5611.0,30935,13
607,Martin Marietta Materials,607,3966.0,3.8,713.3,67.7,8993.0,13019.0,8406,0
608,Nasdaq,620,3965.0,7.0,734.0,579.6,15786.0,14361.0,4734,12
609,Leggett & Platt,613,3944.0,5.2,292.6,-24.2,3551.0,5842.0,22200,4
610,Universal Forest Products,687,3941.0,21.6,119.5,18.1,1465.0,1986.0,10000,77
611,Sally Beauty Holdings,592,3938.0,-0.4,215.1,-3.5,2123.0,2058.0,21755,-19
612,Flowers Foods,594,3921.0,-0.2,150.1,-8.3,2660.0,4604.0,9800,-18
613,Barnes & Noble,555,3895.0,-11.5,22.0,,1933.0,360.0,18592,-58
614,American Equity Investment Life,883,3892.0,75.3,174.6,109.8,62031.0,2639.0,515,269
615,Vulcan Materials,635,3890.0,8.3,601.2,43.3,9505.0,15110.0,8287,20
616,Taylor Morrison Home,644,3885.0,9.4,91.2,73.4,4326.0,2610.0,1800,28
617,Westinghouse Air Brake,742,3882.0,32.4,262.3,-14.0,6580.0,7822.0,18000,125
618,Crestwood Equity Partners,805,3881.0,54.0,,,4285.0,1824.0,954,187
619,Iron Mountain,649,3846.0,9.1,183.8,75.4,10972.0,9375.0,24000,30
620,Lennox International,627,3840.0,5.4,305.7,10.0,1892.0,8415.0,11450,7
621,General Cable,603,3837.0,-0.5,,,2235.0,1499.0,8500,-18
622,American Eagle Outfitters,630,3796.0,5.1,204.2,-3.9,1816.0,3540.0,24100,8
623,Church & Dwight,652,3776.0,8.1,743.4,62.0,6015.0,12294.0,4700,29
624,Platform Specialty Products,636,3776.0,5.3,,,10252.0,2774.0,7850,12
626,OneMain Holdings,602,3756.0,-3.3,183.0,-14.9,19433.0,4062.0,10100,-24
627,Colfax,626,3737.0,2.5,151.1,17.9,6710.0,3934.0,14300,-1
628,Zebra Technologies,639,3722.0,4.1,17.0,,4275.0,7412.0,7000,11
629,Andersons,595,3686.0,-6.1,42.5,266.7,2162.0,943.0,1819,-34
630,TD Ameritrade Holding,674,3685.0,10.5,872.0,3.6,38627.0,33605.0,10412,44
631,Carlyle Group,869,3676.0,61.6,244.1,3714.1,12281.0,2145.0,1600,238
632,Hubbell,650,3669.0,4.7,243.1,-17.0,3721.0,6678.0,17700,18
633,Trinity Industries,539,3663.0,-20.2,702.5,104.5,9543.0,4921.0,15605,-94
